YEAR,QUARTER,ORIGIN,DEST,TICKET_CARRIER,MARKET_MILES_FLOWN,PASSENGERS
2017,1,ABQ,DAL,WN,580.0,604.0
2017,1,ABQ,DEN,WN,349.0,187.0
2017,1,ABQ,LAS,WN,486.0,601.0
2017,1,ABQ,LAX,WN,677.0,406.0
2017,1,ABQ,OAK,WN,889.0,187.0
2017,1,ABQ,PHX,WN,328.0,1564.0
2017,1,ABQ,SAN,WN,628.0,170.0
2017,1,ABQ,SEA,AS,1180.0,72.0
2017,1,ACY,FLL,NK,977.0,865.0
2017,1,ACY,MCO,NK,852.0,704.0
2017,1,ACY,MYR,NK,466.0,224.0
2017,1,ACY,PBI,NK,936.0,128.0
2017,1,ACY,RSW,NK,982.0,645.0
2017,1,ACY,TPA,NK,913.0,74.0
2017,1,ALB,BWI,WN,289.0,95.0
2017,1,ALB,FLL,B6,1204.0,44.0
2017,1,ALB,FLL,WN,1204.0,192.0
2017,1,ALB,LAS,WN,2237.0,43.0
2017,1,ALB,MCO,B6,1073.0,64.0
2017,1,ALB,MCO,WN,1073.0,764.0
2017,1,ALB,TPA,WN,1130.0,113.0
2017,1,AMA,DAL,WN,323.0,333.0
2017,1,AMA,LAS,WN,758.0,64.0
2017,1,ANC,BET,AS,399.0,139.0
2017,1,ANC,BRW,AS,725.0,40.0
2017,1,ANC,FAI,AS,261.0,653.0
2017,1,ANC,HNL,AS,2777.0,130.0
2017,1,ANC,JNU,AS,571.0,181.0
2017,1,ANC,OGG,AS,2797.0,109.0
2017,1,ANC,OME,AS,539.0,40.0
2017,1,ANC,OTZ,AS,548.0,53.0
2017,1,ANC,PDX,AS,1542.0,66.0
2017,1,ANC,SCC,AS,627.0,182.0
2017,1,ANC,SEA,AS,1448.0,1015.0
2017,1,ASE,IAH,UA,913.0,82.0
2017,1,ASE,LAX,UA,737.0,150.0
2017,1,ASE,ORD,UA,1013.0,133.0
2017,1,ASE,SFO,UA,848.0,136.0
2017,1,ATL,AUS,DL,813.0,110.0
2017,1,ATL,BDL,DL,859.0,91.0
2017,1,ATL,BOS,DL,946.0,484.0
2017,1,ATL,BOS,WN,946.0,223.0
2017,1,ATL,BWI,DL,577.0,231.0
2017,1,ATL,BWI,WN,577.0,1109.0
2017,1,ATL,CAK,WN,528.0,318.0
2017,1,ATL,CLE,NK,554.0,213.0
2017,1,ATL,CLT,AA,226.0,56.0
2017,1,ATL,CLT,DL,226.0,172.0
2017,1,ATL,CMH,WN,447.0,48.0
2017,1,ATL,CVG,DL,373.0,43.0
2017,1,ATL,DAL,WN,721.0,504.0
2017,1,ATL,DAY,DL,432.0,46.0
2017,1,ATL,DCA,AA,547.0,212.0
2017,1,ATL,DCA,DL,547.0,1435.0
2017,1,ATL,DCA,WN,547.0,984.0
2017,1,ATL,DEN,DL,1199.0,502.0
2017,1,ATL,DEN,F9,1199.0,380.0
2017,1,ATL,DEN,WN,1199.0,706.0
2017,1,ATL,DFW,AA,731.0,266.0
2017,1,ATL,DFW,DL,731.0,302.0
2017,1,ATL,DFW,NK,731.0,280.0
2017,1,ATL,DTW,DL,594.0,126.0
2017,1,ATL,DTW,NK,594.0,612.0
2017,1,ATL,DTW,WN,594.0,256.0
2017,1,ATL,EGE,DL,1312.0,90.0
2017,1,ATL,EWR,DL,746.0,570.0
2017,1,ATL,EWR,UA,746.0,808.0
