YEAR,QUARTER,ORIGIN,DEST,TICKET_CARRIER,MARKET_MILES_FLOWN,PASSENGERS
2017,2,ABQ,ATL,DL,1269.0,53.0
2017,2,ABQ,BWI,WN,1670.0,156.0
2017,2,ABQ,DAL,WN,580.0,353.0
2017,2,ABQ,DEN,WN,349.0,361.0
2017,2,ABQ,DFW,AA,569.0,41.0
2017,2,ABQ,HOU,WN,759.0,66.0
2017,2,ABQ,LAS,WN,486.0,540.0
2017,2,ABQ,LAX,WN,677.0,324.0
2017,2,ABQ,MDW,WN,1121.0,90.0
2017,2,ABQ,OAK,WN,889.0,202.0
2017,2,ABQ,PHX,WN,328.0,1557.0
2017,2,ABQ,SAN,WN,628.0,179.0
2017,2,ABQ,SEA,AS,1180.0,51.0
2017,2,ACY,FLL,NK,977.0,415.0
2017,2,ACY,MCO,NK,852.0,956.0
2017,2,ACY,MYR,NK,466.0,186.0
2017,2,ACY,RSW,NK,982.0,67.0
2017,2,ACY,TPA,NK,913.0,43.0
2017,2,ALB,ATL,DL,853.0,44.0
2017,2,ALB,FLL,WN,1204.0,272.0
2017,2,ALB,MCO,B6,1073.0,42.0
2017,2,ALB,MCO,WN,1073.0,498.0
2017,2,ALB,TPA,WN,1130.0,47.0
2017,2,ALW,SEA,AS,213.0,51.0
2017,2,AMA,DAL,WN,323.0,449.0
2017,2,AMA,LAS,WN,758.0,59.0
2017,2,ANC,BET,AS,399.0,163.0
2017,2,ANC,BRW,AS,725.0,60.0
2017,2,ANC,FAI,AS,261.0,388.0
2017,2,ANC,HNL,AS,2777.0,47.0
2017,2,ANC,JNU,AS,571.0,341.0
2017,2,ANC,LAX,AS,2345.0,90.0
2017,2,ANC,OME,AS,539.0,47.0
2017,2,ANC,ORD,AS,2846.0,43.0
2017,2,ANC,OTZ,AS,548.0,69.0
2017,2,ANC,PDX,AS,1542.0,128.0
2017,2,ANC,SCC,AS,627.0,261.0
2017,2,ANC,SEA,AS,1448.0,1198.0
