ORIGIN,DEST,QUARTER,PASSENGERS,TIMEPERIOD
ABQ,DAL,1,604.0,First Quarter
ABQ,DEN,1,187.0,First Quarter
ABQ,LAS,1,601.0,First Quarter
ABQ,LAX,1,406.0,First Quarter
ABQ,OAK,1,187.0,First Quarter
ABQ,PHX,1,1564.0,First Quarter
ABQ,SAN,1,170.0,First Quarter
ABQ,SEA,1,72.0,First Quarter
ACY,FLL,1,865.0,First Quarter
ACY,MCO,1,704.0,First Quarter
ACY,MYR,1,224.0,First Quarter
ACY,PBI,1,128.0,First Quarter
ACY,RSW,1,645.0,First Quarter
ACY,TPA,1,74.0,First Quarter
ALB,BWI,1,95.0,First Quarter
ALB,FLL,1,236.0,First Quarter
ALB,LAS,1,43.0,First Quarter
ALB,MCO,1,828.0,First Quarter
ALB,TPA,1,113.0,First Quarter
AMA,DAL,1,333.0,First Quarter
AMA,LAS,1,64.0,First Quarter
ANC,BET,1,139.0,First Quarter
ANC,BRW,1,40.0,First Quarter
ANC,FAI,1,653.0,First Quarter
ANC,HNL,1,130.0,First Quarter
ANC,JNU,1,181.0,First Quarter
ANC,OGG,1,109.0,First Quarter
ANC,OME,1,40.0,First Quarter
ANC,OTZ,1,53.0,First Quarter
ANC,PDX,1,66.0,First Quarter
ANC,SCC,1,182.0,First Quarter
ANC,SEA,1,1015.0,First Quarter
ASE,IAH,1,82.0,First Quarter
ASE,LAX,1,150.0,First Quarter
ASE,ORD,1,133.0,First Quarter
ASE,SFO,1,136.0,First Quarter
ATL,AUS,1,110.0,First Quarter
ATL,BDL,1,91.0,First Quarter
ATL,BOS,1,707.0,First Quarter
ATL,BWI,1,1340.0,First Quarter
ATL,CAK,1,318.0,First Quarter
ATL,CLE,1,213.0,First Quarter
ATL,CLT,1,228.0,First Quarter
ATL,CMH,1,48.0,First Quarter
ATL,CVG,1,43.0,First Quarter
ATL,DAL,1,504.0,First Quarter
ATL,DAY,1,46.0,First Quarter
ATL,DCA,1,2631.0,First Quarter
ATL,DEN,1,1588.0,First Quarter
ATL,DFW,1,848.0,First Quarter
ATL,DTW,1,994.0,First Quarter
ATL,EGE,1,90.0,First Quarter
ATL,EWR,1,1378.0,First Quarter
ATL,EYW,1,40.0,First Quarter
ATL,FLL,1,2506.0,First Quarter
ATL,HDN,1,76.0,First Quarter
ATL,HNL,1,41.0,First Quarter
ATL,HOU,1,1082.0,First Quarter
ATL,IAD,1,462.0,First Quarter
ATL,IAH,1,328.0,First Quarter
ATL,IND,1,46.0,First Quarter
ATL,JAX,1,52.0,First Quarter
ATL,JFK,1,389.0,First Quarter
ATL,LAS,1,1128.0,First Quarter
ATL,LAX,1,1643.0,First Quarter
ATL,LGA,1,5317.0,First Quarter
ATL,MCI,1,103.0,First Quarter
ATL,MCO,1,2580.0,First Quarter
ATL,MDW,1,1494.0,First Quarter
ATL,MEM,1,45.0,First Quarter
ATL,MIA,1,964.0,First Quarter
ATL,MKE,1,42.0,First Quarter
ATL,MSP,1,232.0,First Quarter
ATL,MSY,1,192.0,First Quarter
ATL,OKC,1,42.0,First Quarter
ATL,ORD,1,735.0,First Quarter
ATL,PBI,1,431.0,First Quarter
ATL,PDX,1,41.0,First Quarter
ATL,PHL,1,1621.0,First Quarter
ATL,PHX,1,624.0,First Quarter
ATL,RDU,1,521.0,First Quarter
ATL,RIC,1,44.0,First Quarter
ATL,RSW,1,121.0,First Quarter
ATL,SAN,1,139.0,First Quarter
ATL,SAT,1,147.0,First Quarter
ATL,SDF,1,104.0,First Quarter
ATL,SEA,1,93.0,First Quarter
ATL,SFO,1,525.0,First Quarter
ATL,SJU,1,98.0,First Quarter
ATL,SLC,1,509.0,First Quarter
ATL,SRQ,1,54.0,First Quarter
ATL,STL,1,359.0,First Quarter
ATL,STT,1,93.0,First Quarter
ATL,TPA,1,1588.0,First Quarter
AUS,ATL,1,110.0,First Quarter
AUS,BWI,1,107.0,First Quarter
AUS,CLT,1,45.0,First Quarter
AUS,DAL,1,1647.0,First Quarter
AUS,DEN,1,999.0,First Quarter
AUS,DFW,1,377.0,First Quarter
AUS,ELP,1,222.0,First Quarter
AUS,EWR,1,211.0,First Quarter
AUS,FLL,1,383.0,First Quarter
AUS,HOU,1,173.0,First Quarter
AUS,JFK,1,41.0,First Quarter
AUS,LAS,1,614.0,First Quarter
AUS,LAX,1,928.0,First Quarter
AUS,MCO,1,198.0,First Quarter
AUS,MDW,1,257.0,First Quarter
AUS,MSY,1,48.0,First Quarter
AUS,ORD,1,275.0,First Quarter
AUS,PHX,1,782.0,First Quarter
AUS,SAN,1,139.0,First Quarter
AUS,TPA,1,43.0,First Quarter
AVL,EWR,1,160.0,First Quarter
AZA,OGD,1,44.0,First Quarter
BDL,ATL,1,91.0,First Quarter
BDL,BWI,1,275.0,First Quarter
BDL,CLT,1,145.0,First Quarter
BDL,FLL,1,326.0,First Quarter
BDL,MCO,1,1276.0,First Quarter
BDL,RSW,1,518.0,First Quarter
BDL,TPA,1,396.0,First Quarter
BET,ANC,1,151.0,First Quarter
BHM,CLT,1,59.0,First Quarter
BHM,LAS,1,43.0,First Quarter
BHM,MCO,1,254.0,First Quarter
BHM,MDW,1,186.0,First Quarter
BHM,TPA,1,43.0,First Quarter
BLI,LAS,1,553.0,First Quarter
BLI,OGG,1,116.0,First Quarter
BNA,BOS,1,270.0,First Quarter
BNA,BWI,1,451.0,First Quarter
BNA,CLT,1,52.0,First Quarter
BNA,DAL,1,449.0,First Quarter
BNA,DCA,1,315.0,First Quarter
BNA,DEN,1,674.0,First Quarter
BNA,DFW,1,853.0,First Quarter
BNA,ECP,1,175.0,First Quarter
BNA,FLL,1,964.0,First Quarter
BNA,HOU,1,558.0,First Quarter
BNA,JAX,1,58.0,First Quarter
BNA,LAS,1,541.0,First Quarter
BNA,LAX,1,429.0,First Quarter
BNA,LGA,1,599.0,First Quarter
BNA,MCI,1,247.0,First Quarter
BNA,MCO,1,991.0,First Quarter
BNA,MDW,1,1101.0,First Quarter
BNA,MSY,1,441.0,First Quarter
BNA,ORD,1,60.0,First Quarter
BNA,PHL,1,102.0,First Quarter
BNA,PHX,1,258.0,First Quarter
BNA,PNS,1,47.0,First Quarter
BNA,RDU,1,341.0,First Quarter
BNA,RSW,1,107.0,First Quarter
BNA,TPA,1,844.0,First Quarter
BOI,GEG,1,132.0,First Quarter
BOI,LAS,1,55.0,First Quarter
BOI,PDX,1,475.0,First Quarter
BOI,RNO,1,47.0,First Quarter
BOI,SAN,1,64.0,First Quarter
BOI,SEA,1,123.0,First Quarter
BOI,SJC,1,42.0,First Quarter
BOS,ATL,1,587.0,First Quarter
BOS,BNA,1,288.0,First Quarter
BOS,BWI,1,1838.0,First Quarter
BOS,CLT,1,339.0,First Quarter
BOS,CMH,1,41.0,First Quarter
BOS,DCA,1,3364.0,First Quarter
BOS,DEN,1,398.0,First Quarter
BOS,DFW,1,107.0,First Quarter
BOS,DTW,1,130.0,First Quarter
BOS,EWR,1,433.0,First Quarter
BOS,FLL,1,1560.0,First Quarter
BOS,HOU,1,138.0,First Quarter
BOS,IAH,1,177.0,First Quarter
BOS,IND,1,94.0,First Quarter
BOS,JFK,1,228.0,First Quarter
BOS,LAS,1,189.0,First Quarter
BOS,LAX,1,1813.0,First Quarter
BOS,LGA,1,1113.0,First Quarter
BOS,MCO,1,2016.0,First Quarter
BOS,MDW,1,249.0,First Quarter
BOS,MIA,1,630.0,First Quarter
BOS,MSP,1,117.0,First Quarter
BOS,ORD,1,1152.0,First Quarter
BOS,PBI,1,1072.0,First Quarter
BOS,PHL,1,1457.0,First Quarter
BOS,PHX,1,302.0,First Quarter
BOS,PIT,1,53.0,First Quarter
BOS,RDU,1,240.0,First Quarter
BOS,RIC,1,44.0,First Quarter
BOS,RSW,1,1678.0,First Quarter
BOS,SAN,1,273.0,First Quarter
BOS,SEA,1,187.0,First Quarter
BOS,SFO,1,1806.0,First Quarter
BOS,SJC,1,154.0,First Quarter
BOS,SJU,1,280.0,First Quarter
BOS,SLC,1,142.0,First Quarter
BOS,SRQ,1,99.0,First Quarter
BOS,STL,1,83.0,First Quarter
BOS,STT,1,54.0,First Quarter
BOS,TPA,1,677.0,First Quarter
BQN,EWR,1,118.0,First Quarter
BQN,FLL,1,71.0,First Quarter
BQN,JFK,1,156.0,First Quarter
BQN,MCO,1,143.0,First Quarter
BUF,BWI,1,242.0,First Quarter
BUF,FLL,1,491.0,First Quarter
BUF,JFK,1,794.0,First Quarter
BUF,LAS,1,83.0,First Quarter
BUF,MCO,1,1012.0,First Quarter
BUF,PHX,1,131.0,First Quarter
BUF,TPA,1,289.0,First Quarter
BUR,JFK,1,89.0,First Quarter
BUR,LAS,1,2473.0,First Quarter
BUR,OAK,1,5403.0,First Quarter
BUR,PHX,1,1944.0,First Quarter
BUR,SEA,1,439.0,First Quarter
BUR,SFO,1,1010.0,First Quarter
BUR,SJC,1,2834.0,First Quarter
BUR,SMF,1,3049.0,First Quarter
BWI,ALB,1,96.0,First Quarter
BWI,ATL,1,1347.0,First Quarter
BWI,AUS,1,107.0,First Quarter
BWI,BDL,1,292.0,First Quarter
BWI,BNA,1,450.0,First Quarter
BWI,BOS,1,1666.0,First Quarter
BWI,BUF,1,197.0,First Quarter
BWI,CHS,1,252.0,First Quarter
BWI,CLE,1,308.0,First Quarter
BWI,CLT,1,518.0,First Quarter
BWI,CMH,1,104.0,First Quarter
BWI,DAL,1,299.0,First Quarter
BWI,DEN,1,664.0,First Quarter
BWI,DTW,1,499.0,First Quarter
BWI,FLL,1,3982.0,First Quarter
BWI,HOU,1,591.0,First Quarter
BWI,IAH,1,44.0,First Quarter
BWI,IND,1,48.0,First Quarter
BWI,ISP,1,43.0,First Quarter
BWI,JAX,1,276.0,First Quarter
BWI,LAS,1,636.0,First Quarter
BWI,LAX,1,210.0,First Quarter
BWI,MCO,1,4200.0,First Quarter
BWI,MDW,1,674.0,First Quarter
BWI,MHT,1,230.0,First Quarter
BWI,MSP,1,217.0,First Quarter
BWI,MSY,1,223.0,First Quarter
BWI,ORD,1,270.0,First Quarter
BWI,PBI,1,502.0,First Quarter
BWI,PHX,1,224.0,First Quarter
BWI,PVD,1,273.0,First Quarter
BWI,PWM,1,49.0,First Quarter
BWI,RDU,1,486.0,First Quarter
BWI,RSW,1,891.0,First Quarter
BWI,SAN,1,451.0,First Quarter
BWI,SAT,1,45.0,First Quarter
BWI,SJU,1,310.0,First Quarter
BWI,SLC,1,120.0,First Quarter
BWI,STL,1,97.0,First Quarter
BWI,TPA,1,2060.0,First Quarter
BZN,ORD,1,45.0,First Quarter
BZN,SEA,1,111.0,First Quarter
CAE,DCA,1,90.0,First Quarter
CAK,ATL,1,317.0,First Quarter
CAK,FLL,1,91.0,First Quarter
CAK,MCO,1,139.0,First Quarter
CDC,SLC,1,41.0,First Quarter
CHS,BWI,1,288.0,First Quarter
CHS,DCA,1,41.0,First Quarter
CHS,JFK,1,189.0,First Quarter
CHS,SEA,1,40.0,First Quarter
CLE,ATL,1,207.0,First Quarter
CLE,BWI,1,262.0,First Quarter
CLE,DCA,1,49.0,First Quarter
CLE,DFW,1,81.0,First Quarter
CLE,FLL,1,287.0,First Quarter
CLE,LAS,1,533.0,First Quarter
CLE,LAX,1,87.0,First Quarter
CLE,LGA,1,113.0,First Quarter
CLE,MCO,1,929.0,First Quarter
CLE,MDW,1,572.0,First Quarter
CLE,ORD,1,137.0,First Quarter
CLE,PHX,1,208.0,First Quarter
CLE,RSW,1,454.0,First Quarter
CLE,SFO,1,48.0,First Quarter
CLE,TPA,1,246.0,First Quarter
CLT,ATL,1,272.0,First Quarter
CLT,AUS,1,45.0,First Quarter
CLT,BDL,1,145.0,First Quarter
CLT,BHM,1,59.0,First Quarter
CLT,BNA,1,47.0,First Quarter
CLT,BOS,1,392.0,First Quarter
CLT,BWI,1,571.0,First Quarter
CLT,CVG,1,43.0,First Quarter
CLT,DCA,1,208.0,First Quarter
CLT,DEN,1,242.0,First Quarter
CLT,DFW,1,588.0,First Quarter
CLT,EWR,1,1195.0,First Quarter
CLT,FLL,1,331.0,First Quarter
CLT,IAD,1,41.0,First Quarter
CLT,JAX,1,52.0,First Quarter
CLT,JFK,1,620.0,First Quarter
CLT,LAS,1,227.0,First Quarter
CLT,LAX,1,139.0,First Quarter
CLT,LGA,1,1721.0,First Quarter
CLT,MCI,1,105.0,First Quarter
CLT,MCO,1,482.0,First Quarter
CLT,MIA,1,215.0,First Quarter
CLT,MSY,1,40.0,First Quarter
CLT,ORD,1,1134.0,First Quarter
CLT,PBI,1,140.0,First Quarter
CLT,PHL,1,41.0,First Quarter
CLT,PHX,1,78.0,First Quarter
CLT,PIT,1,83.0,First Quarter
CLT,PVD,1,143.0,First Quarter
CLT,RSW,1,97.0,First Quarter
CLT,SAN,1,43.0,First Quarter
CLT,SFO,1,80.0,First Quarter
CLT,STL,1,45.0,First Quarter
CLT,TPA,1,454.0,First Quarter
CMH,BOS,1,89.0,First Quarter
CMH,BWI,1,56.0,First Quarter
CMH,DCA,1,305.0,First Quarter
CMH,DEN,1,46.0,First Quarter
CMH,DFW,1,44.0,First Quarter
CMH,FLL,1,96.0,First Quarter
CMH,LAS,1,539.0,First Quarter
CMH,LAX,1,48.0,First Quarter
CMH,MCO,1,1008.0,First Quarter
CMH,MDW,1,621.0,First Quarter
CMH,ORD,1,219.0,First Quarter
CMH,PHX,1,289.0,First Quarter
CMH,RSW,1,663.0,First Quarter
CMH,TPA,1,399.0,First Quarter
COS,LAS,1,149.0,First Quarter
COS,PHX,1,41.0,First Quarter
CRP,DFW,1,44.0,First Quarter
CVG,ATL,1,43.0,First Quarter
CVG,CLT,1,43.0,First Quarter
CVG,DEN,1,220.0,First Quarter
CVG,FLL,1,83.0,First Quarter
CVG,LAS,1,315.0,First Quarter
CVG,LAX,1,62.0,First Quarter
CVG,LGA,1,51.0,First Quarter
CVG,MCO,1,422.0,First Quarter
CVG,ORD,1,54.0,First Quarter
CVG,PHX,1,55.0,First Quarter
CVG,PIE,1,52.0,First Quarter
CVG,RSW,1,139.0,First Quarter
CVG,SLC,1,112.0,First Quarter
CVG,TPA,1,74.0,First Quarter
DAB,JFK,1,40.0,First Quarter
DAL,ABQ,1,486.0,First Quarter
DAL,AMA,1,326.0,First Quarter
DAL,ATL,1,551.0,First Quarter
DAL,AUS,1,1649.0,First Quarter
DAL,BNA,1,442.0,First Quarter
DAL,BWI,1,231.0,First Quarter
DAL,DCA,1,196.0,First Quarter
DAL,DEN,1,1652.0,First Quarter
DAL,ELP,1,340.0,First Quarter
DAL,FLL,1,211.0,First Quarter
DAL,HOU,1,5823.0,First Quarter
DAL,LAS,1,1380.0,First Quarter
DAL,LAX,1,1196.0,First Quarter
DAL,LBB,1,653.0,First Quarter
DAL,LGA,1,685.0,First Quarter
DAL,LIT,1,110.0,First Quarter
DAL,MAF,1,410.0,First Quarter
DAL,MCI,1,1404.0,First Quarter
DAL,MCO,1,546.0,First Quarter
DAL,MDW,1,1236.0,First Quarter
DAL,MEM,1,100.0,First Quarter
DAL,MKE,1,41.0,First Quarter
DAL,MSY,1,1374.0,First Quarter
DAL,PHX,1,1619.0,First Quarter
DAL,RDU,1,55.0,First Quarter
DAL,SAN,1,668.0,First Quarter
DAL,SAT,1,2070.0,First Quarter
DAL,SFO,1,94.0,First Quarter
DAL,SLC,1,93.0,First Quarter
DAL,STL,1,902.0,First Quarter
DAL,TPA,1,179.0,First Quarter
DAL,TUL,1,104.0,First Quarter
DAY,ATL,1,46.0,First Quarter
DAY,DCA,1,146.0,First Quarter
DAY,DFW,1,41.0,First Quarter
DCA,ALB,1,44.0,First Quarter
DCA,ATL,1,2745.0,First Quarter
DCA,BNA,1,357.0,First Quarter
DCA,BOS,1,3347.0,First Quarter
DCA,CAE,1,90.0,First Quarter
DCA,CHS,1,41.0,First Quarter
DCA,CLE,1,49.0,First Quarter
DCA,CLT,1,167.0,First Quarter
DCA,CMH,1,305.0,First Quarter
DCA,DAL,1,235.0,First Quarter
DCA,DAY,1,146.0,First Quarter
DCA,DEN,1,490.0,First Quarter
DCA,DFW,1,449.0,First Quarter
DCA,DTW,1,40.0,First Quarter
DCA,FLL,1,797.0,First Quarter
DCA,HOU,1,372.0,First Quarter
DCA,HSV,1,44.0,First Quarter
DCA,IND,1,425.0,First Quarter
DCA,LAS,1,45.0,First Quarter
DCA,LAX,1,91.0,First Quarter
DCA,LGA,1,574.0,First Quarter
DCA,MCI,1,174.0,First Quarter
DCA,MCO,1,1031.0,First Quarter
DCA,MDW,1,759.0,First Quarter
DCA,MIA,1,1012.0,First Quarter
DCA,MKE,1,331.0,First Quarter
DCA,MSP,1,236.0,First Quarter
DCA,MSY,1,438.0,First Quarter
DCA,ORD,1,242.0,First Quarter
DCA,PBI,1,137.0,First Quarter
DCA,PHX,1,41.0,First Quarter
DCA,PVD,1,225.0,First Quarter
DCA,RDU,1,69.0,First Quarter
DCA,RSW,1,103.0,First Quarter
DCA,SDF,1,123.0,First Quarter
DCA,SEA,1,134.0,First Quarter
DCA,SFO,1,135.0,First Quarter
DCA,SLC,1,162.0,First Quarter
DCA,STL,1,347.0,First Quarter
DCA,TPA,1,915.0,First Quarter
DEN,ABQ,1,200.0,First Quarter
DEN,ATL,1,1813.0,First Quarter
DEN,AUS,1,1162.0,First Quarter
DEN,BNA,1,672.0,First Quarter
DEN,BOS,1,363.0,First Quarter
DEN,BWI,1,601.0,First Quarter
DEN,CLT,1,242.0,First Quarter
DEN,CMH,1,46.0,First Quarter
DEN,CVG,1,177.0,First Quarter
DEN,DAL,1,1791.0,First Quarter
DEN,DCA,1,532.0,First Quarter
DEN,DFW,1,2489.0,First Quarter
DEN,DRO,1,41.0,First Quarter
DEN,DTW,1,514.0,First Quarter
DEN,EWR,1,1007.0,First Quarter
DEN,FLL,1,410.0,First Quarter
DEN,HNL,1,51.0,First Quarter
DEN,HOU,1,1463.0,First Quarter
DEN,IAD,1,1115.0,First Quarter
DEN,IAH,1,1101.0,First Quarter
DEN,IND,1,122.0,First Quarter
DEN,JFK,1,340.0,First Quarter
DEN,JMS,1,45.0,First Quarter
DEN,LAS,1,6381.0,First Quarter
DEN,LAX,1,4837.0,First Quarter
DEN,LGA,1,775.0,First Quarter
DEN,MCI,1,1539.0,First Quarter
DEN,MCO,1,1854.0,First Quarter
DEN,MDW,1,2022.0,First Quarter
DEN,MIA,1,93.0,First Quarter
DEN,MKE,1,119.0,First Quarter
DEN,MSP,1,1355.0,First Quarter
DEN,MSY,1,205.0,First Quarter
DEN,OAK,1,694.0,First Quarter
DEN,OGG,1,70.0,First Quarter
DEN,OKC,1,365.0,First Quarter
DEN,OMA,1,209.0,First Quarter
DEN,ORD,1,2541.0,First Quarter
DEN,PDX,1,357.0,First Quarter
DEN,PHL,1,286.0,First Quarter
DEN,PHX,1,6628.0,First Quarter
DEN,PSP,1,52.0,First Quarter
DEN,RNO,1,40.0,First Quarter
DEN,RSW,1,205.0,First Quarter
DEN,SAN,1,1563.0,First Quarter
DEN,SAT,1,297.0,First Quarter
DEN,SEA,1,1347.0,First Quarter
