YEAR,QUARTER,ORIGIN,DEST,TICKET_CARRIER,MARKET_MILES_FLOWN,PASSENGERS
2017,3,ABQ,DFW,AA,569,106
2017,3,ATL,DFW,AA,731,1220
2017,3,ATL,LAX,AA,1947,701
2017,3,ATL,LGA,AA,762,320
2017,3,ATL,LGA,AA,770,41
2017,3,ATL,MIA,AA,594,513
2017,3,ATL,ORD,AA,606,194
2017,3,ATL,PHL,AA,666,1129
2017,3,ATL,PHX,AA,1587,50
2017,3,AUS,CLT,AA,1032,155
2017,3,AUS,DFW,AA,190,297
2017,3,AUS,LAX,AA,1242,700
2017,3,AUS,ORD,AA,977,304
2017,3,BDL,CLT,AA,644,313
2017,3,BDL,DFW,AA,1471,100
2017,3,BDL,LAX,AA,2527,59
2017,3,BDL,MIA,AA,1194,45
2017,3,BDL,ORD,AA,783,64
2017,3,BNA,CLT,AA,328,41
2017,3,BNA,DFW,AA,631,1149
2017,3,BNA,LAX,AA,1797,343
2017,3,BNA,LGA,DL,764,89
2017,3,BOS,CLT,AA,728,1458
2017,3,BOS,DCA,AA,399,2922
2017,3,BOS,DFW,AA,1562,916
2017,3,BOS,JFK,DL,187,40
2017,3,BOS,LAX,AA,2611,820
2017,3,BOS,LGA,AA,184,352
2017,3,BOS,MIA,AA,1258,1441
2017,3,BOS,ORD,AA,867,2514
2017,3,BOS,PHL,AA,280,2070
2017,3,BOS,PHX,AA,2300,236
2017,3,BUF,CLT,AA,546,179
2017,3,BUF,JFK,DL,301,50
2017,3,BWI,CLT,AA,361,322
2017,3,BWI,DFW,AA,1217,96
2017,3,BWI,MCO,AA,829,68
2017,3,BWI,MIA,AA,946,86
2017,3,BWI,PHX,AA,1999,43
2017,3,CLT,AUS,AA,1032,159
2017,3,CLT,BDL,AA,644,357
2017,3,CLT,BNA,AA,328,62
2017,3,CLT,BOS,AA,728,1700
2017,3,CLT,BUF,AA,546,179
2017,3,CLT,BWI,AA,361,372
2017,3,CLT,DCA,AA,331,176
2017,3,CLT,DEN,AA,1337,109
2017,3,CLT,DFW,AA,936,827
2017,3,CLT,EWR,AA,529,300
2017,3,CLT,FLL,AA,632,211
2017,3,CLT,JFK,AA,541,729
2017,3,CLT,JFK,DL,541,40
2017,3,CLT,LAS,AA,1916,270
2017,3,CLT,LAX,AA,2125,371
2017,3,CLT,LGA,AA,544,1213
2017,3,CLT,LGA,DL,544,83
2017,3,CLT,MCO,AA,468,250
2017,3,CLT,MIA,AA,650,234
2017,3,CLT,MSP,AA,930,211
2017,3,CLT,MSY,AA,651,48
2017,3,CLT,ORD,AA,599,1761
2017,3,CLT,PBI,AA,590,41
2017,3,CLT,PDX,AA,2282,306
2017,3,CLT,PHL,AA,449,252
2017,3,CLT,PHX,AA,1773,221
2017,3,CLT,PVD,AA,683,53
2017,3,CLT,ROC,AA,573,49
2017,3,CLT,SAN,AA,2077,185
2017,3,CLT,SAT,AA,1095,101
2017,3,CLT,SEA,AA,2279,250
2017,3,CLT,SFO,AA,2296,514
2017,3,CLT,SJU,AA,1475,109
2017,3,CLT,SMF,AA,2244,137
2017,3,CLT,STL,AA,575,50
2017,3,CLT,TPA,AA,507,61
2017,3,CMH,DFW,AA,926,172
2017,3,CMH,PHX,AA,1670,117
2017,3,COS,DFW,AA,592,44
2017,3,CVG,LGA,DL,585,53
2017,3,DCA,BOS,AA,399,2928
2017,3,DCA,CLT,AA,331,128
2017,3,DCA,DFW,AA,1192,489
2017,3,DCA,FLL,AA,899,42
2017,3,DCA,JFK,AA,213,62
2017,3,DCA,LAX,AA,2311,233
2017,3,DCA,LGA,AA,214,50
2017,3,DCA,MCO,AA,759,526
2017,3,DCA,MIA,AA,919,1135
2017,3,DCA,ORD,AA,612,1269
2017,3,DCA,PBI,AA,857,40
2017,3,DCA,PHX,AA,1979,106
2017,3,DCA,SAT,AA,1439,45
2017,3,DCA,TPA,AA,814,210
2017,3,DEN,CLT,AA,1337,365
2017,3,DEN,DFW,AA,641,2757
2017,3,DEN,LAX,AA,862,666
2017,3,DEN,MIA,AA,1709,173
2017,3,DEN,ORD,AA,888,897
2017,3,DEN,PHL,AA,1558,584
2017,3,DEN,PHX,AA,602,814
2017,3,DFW,ABQ,AA,569,106
2017,3,DFW,ATL,AA,731,1307
2017,3,DFW,AUS,AA,190,341
2017,3,DFW,BDL,AA,1471,100
2017,3,DFW,BNA,AA,631,1101
2017,3,DFW,BOS,AA,1562,903
2017,3,DFW,CLT,AA,936,757
2017,3,DFW,CMH,AA,926,226
2017,3,DFW,COS,AA,592,44
2017,3,DFW,DCA,AA,1192,467
2017,3,DFW,DEN,AA,641,2710
2017,3,DFW,DSM,AA,624,98
2017,3,DFW,DTW,AA,986,302
2017,3,DFW,EGE,AA,721,51
2017,3,DFW,EWR,AA,1372,453
2017,3,DFW,FLL,AA,1119,611
2017,3,DFW,HNL,AA,3784,158
2017,3,DFW,IAH,AA,224,713
2017,3,DFW,IND,AA,761,149
2017,3,DFW,JAC,AA,1047,81
2017,3,DFW,JFK,AA,1391,115
2017,3,DFW,LAS,AA,1055,2189
2017,3,DFW,LAX,AA,1235,2029
2017,3,DFW,LGA,AA,1389,2409
2017,3,DFW,MCI,AA,460,624
2017,3,DFW,MCO,AA,985,2227
2017,3,DFW,MEM,AA,431,86
2017,3,DFW,MIA,AA,1121,1138
2017,3,DFW,MKE,AA,853,405
2017,3,DFW,MSP,AA,852,993
2017,3,DFW,MSY,AA,447,203
2017,3,DFW,OGG,AA,3711,93
2017,3,DFW,OKC,AA,175,60
2017,3,DFW,ONT,AA,1188,271
2017,3,DFW,ORD,AA,802,2206
2017,3,DFW,ORF,AA,1212,131
2017,3,DFW,PBI,AA,1102,87
2017,3,DFW,PDX,AA,1616,578
2017,3,DFW,PHL,AA,1303,1579
2017,3,DFW,PHX,AA,868,1638
2017,3,DFW,PIT,AA,1067,43
2017,3,DFW,RDU,AA,1061,155
2017,3,DFW,RNO,AA,1345,49
2017,3,DFW,RSW,AA,1017,53
2017,3,DFW,SAN,AA,1171,1419
2017,3,DFW,SAT,AA,247,864
2017,3,DFW,SEA,AA,1660,1983
2017,3,DFW,SFO,AA,1464,1337
2017,3,DFW,SJU,AA,2165,65
2017,3,DFW,SLC,AA,989,628
2017,3,DFW,SMF,AA,1431,224
2017,3,DFW,SNA,AA,1205,820
2017,3,DFW,STL,AA,550,567
2017,3,DFW,TPA,AA,929,849
2017,3,DFW,TUL,AA,237,206
2017,3,DSM,DFW,AA,624,98
2017,3,DTW,DFW,AA,986,295
2017,3,DTW,PHX,AA,1671,42
2017,3,EGE,DFW,AA,721,51
2017,3,EWR,CLT,AA,529,201
2017,3,EWR,DFW,AA,1372,427
2017,3,EWR,IAH,AA,1441,74
2017,3,EWR,MIA,AA,1085,52
2017,3,EWR,MSY,AA,1180,40
2017,3,EWR,ORD,AA,719,158
2017,3,EWR,PHX,AA,2133,209
2017,3,FLL,CLT,AA,632,160
2017,3,FLL,DCA,AA,899,49
2017,3,FLL,DFW,AA,1119,511
2017,3,FLL,ORD,AA,1182,450
2017,3,FLL,PHL,AA,992,184
2017,3,HNL,DFW,AA,3784,158
2017,3,HNL,LAX,AA,2556,467
2017,3,IAD,LAX,AA,2288,257
2017,3,IAD,MIA,AA,921,41
2017,3,IAH,DFW,AA,224,615
2017,3,IAH,MIA,AA,964,40
2017,3,IAH,SEA,AA,1884,43
2017,3,IND,DFW,AA,761,102
2017,3,IND,LAX,AA,1814,138
2017,3,JAC,DFW,AA,1047,81
2017,3,JFK,AUS,AA,1521,49
2017,3,JFK,BUF,DL,301,141
2017,3,JFK,CLT,AA,541,596
2017,3,JFK,CLT,DL,541,45
2017,3,JFK,DCA,DL,213,48
2017,3,JFK,LAS,AA,2248,674
